Location,TimeFrame,DataFormat,Data
Colorado,2006,Percent,0.33677
JOHNSTOWN-MILLIKEN RE-5J,2011,Percent,1.2
Academy,2007,Percent,0.39143
Academy,2008,Percent,0.39144
ACADEMY,2007,Percent,0.39159
ACADEMY 20,2006,Percent,0.35364
ADAMS COUNTY 14,2007,Percent,0.30643
ADAMS COUNTY 14,2006,Percent,0.29331
ADAMS COUNTY 14,2005,Percent,0.3
ADAMS-ARAPAHOE 28J,2007,Percent,0.47359
ADAMS-ARAPAHOE 28J,2014,Percent,0.97123
AGATE 300,2007,Percent,1
AGATE 300,2006,Percent,#DIV/0!
AGUILAR REORGANIZED 6,2007,Percent,1
AGUILAR REORGANIZED 6,2006,Percent,1
AGUILAR REORGANIZED 6,2014,Percent,1
AKRON R-1,2007,Percent,0
AKRON R-1,2006,Percent,0
AKRON R-1,2005,Percent,0
AKRON R-1,2009,Percent,0.96
AKRON R-1,2014,Percent,1
ALAMOSA RE-11J,2004,Percent,0
ALAMOSA RE-11J,2008,Percent,0.99383
ALAMOSA RE-11J,2009,Percent,1
ARCHULETA COUNTY 50 JT,2004,Percent,0
ARCHULETA COUNTY 50 JT,2008,Percent,0.5625
ARCHULETA COUNTY 50 JT,2014,Percent,0.92857
ARICKAREE R-2,2007,Percent,N/A
ARICKAREE R-2,2014,Percent,1
CLEAR CREEK RE-1,2007,Percent,0.19753
COLORADO SPRINGS 11,2007,Percent,0.99406
COTOPAXI RE-3,2007,Percent,0
CREEDE CONSOLIDATED 1,2007,Percent,1
CRIPPLE CREEK-VICTOR RE-1,2007,Percent,1
CROWLEY COUNTY RE-1-J,2007,Percent,1
CUSTER COUNTY SCHOOL DISTRICT C-1,2007,Percent,0
JOHNSTOWN-MILLIKEN RE-5J,2011,Percent,0.07
JOHNSTOWN-MILLIKEN RE-5J,2011,Percent,1.2
JOHNSTOWN-MILLIKEN RE-5J,2011,Percent,100
